metric,value,step
Train/Offset_Loss/Epoch,1713.9959716796875,0.0
Train/Offset_Loss/Epoch,1313.1986083984375,1.0
Train/Offset_Loss/Epoch,1260.2305908203125,2.0
Train/Offset_Loss/Epoch,1229.0933837890625,3.0
Train/Offset_Loss/Epoch,1203.9957275390625,4.0
Train/Offset_Loss/Epoch,1190.0462646484375,5.0
Train/Offset_Loss/Epoch,1176.6463623046875,6.0
Train/Offset_Loss/Epoch,1165.8829345703125,7.0
Train/Offset_Loss/Epoch,1151.93505859375,8.0
Train/Offset_Loss/Epoch,1144.3499755859375,9.0
Train/Offset_Loss/Epoch,1133.56103515625,10.0
Train/Offset_Loss/Epoch,1124.7799072265625,11.0
Train/Offset_Loss/Epoch,1116.55322265625,12.0
Train/Offset_Loss/Epoch,1110.0450439453125,13.0
Train/Offset_Loss/Epoch,1101.6575927734375,14.0
Train/Offset_Loss/Epoch,1096.159423828125,15.0
Train/Offset_Loss/Epoch,1089.802001953125,16.0
Train/Offset_Loss/Epoch,1085.3902587890625,17.0
Train/Offset_Loss/Epoch,1083.6485595703125,18.0
Train/Offset_Loss/Epoch,1081.913330078125,19.0
Train/State_Loss/Epoch,0.20400504767894745,0.0
Train/State_Loss/Epoch,0.15148328244686127,1.0
Train/State_Loss/Epoch,0.14598916471004486,2.0
Train/State_Loss/Epoch,0.1430615484714508,3.0
Train/State_Loss/Epoch,0.14069104194641113,4.0
Train/State_Loss/Epoch,0.1390676647424698,5.0
Train/State_Loss/Epoch,0.13791050016880035,6.0
Train/State_Loss/Epoch,0.13674020767211914,7.0
Train/State_Loss/Epoch,0.13603362441062927,8.0
Train/State_Loss/Epoch,0.1352066993713379,9.0
Train/State_Loss/Epoch,0.134540393948555,10.0
Train/State_Loss/Epoch,0.13410049676895142,11.0
Train/State_Loss/Epoch,0.1335964947938919,12.0
Train/State_Loss/Epoch,0.1332951933145523,13.0
Train/State_Loss/Epoch,0.13297317922115326,14.0
Train/State_Loss/Epoch,0.1327703446149826,15.0
Train/State_Loss/Epoch,0.1326020509004593,16.0
Train/State_Loss/Epoch,0.13242433965206146,17.0
Train/State_Loss/Epoch,0.1324162781238556,18.0
Train/State_Loss/Epoch,0.13237738609313965,19.0
Validation/Offset_Loss/Epoch,1237.311767578125,0.0
Validation/Offset_Loss/Epoch,1149.447021484375,1.0
Validation/Offset_Loss/Epoch,1124.427490234375,2.0
Validation/Offset_Loss/Epoch,1092.3197021484375,3.0
Validation/Offset_Loss/Epoch,1078.0101318359375,4.0
Validation/Offset_Loss/Epoch,1075.17822265625,5.0
Validation/Offset_Loss/Epoch,1050.52294921875,6.0
Validation/Offset_Loss/Epoch,1045.51513671875,7.0
Validation/Offset_Loss/Epoch,1038.8067626953125,8.0
Validation/Offset_Loss/Epoch,1037.5789794921875,9.0
Validation/Offset_Loss/Epoch,1032.693359375,10.0
Validation/Offset_Loss/Epoch,1026.345703125,11.0
Validation/Offset_Loss/Epoch,1020.924072265625,12.0
Validation/Offset_Loss/Epoch,1019.5908813476562,13.0
Validation/Offset_Loss/Epoch,1019.4003295898438,14.0
Validation/Offset_Loss/Epoch,1012.735107421875,15.0
Validation/Offset_Loss/Epoch,1010.2493286132812,16.0
Validation/Offset_Loss/Epoch,1012.084716796875,17.0
Validation/Offset_Loss/Epoch,1013.4107055664062,18.0
Validation/Offset_Loss/Epoch,1012.0861206054688,19.0
Validation/State_Loss/Epoch,0.1472405642271042,0.0
Validation/State_Loss/Epoch,0.13899777829647064,1.0
Validation/State_Loss/Epoch,0.1361061930656433,2.0
Validation/State_Loss/Epoch,0.13390353322029114,3.0
Validation/State_Loss/Epoch,0.13146667182445526,4.0
Validation/State_Loss/Epoch,0.12977783381938934,5.0
Validation/State_Loss/Epoch,0.128624826669693,6.0
Validation/State_Loss/Epoch,0.12751485407352448,7.0
Validation/State_Loss/Epoch,0.12729045748710632,8.0
Validation/State_Loss/Epoch,0.1267300397157669,9.0
Validation/State_Loss/Epoch,0.12589654326438904,10.0
Validation/State_Loss/Epoch,0.12572067975997925,11.0
Validation/State_Loss/Epoch,0.12531352043151855,12.0
Validation/State_Loss/Epoch,0.12470641732215881,13.0
Validation/State_Loss/Epoch,0.12442228943109512,14.0
Validation/State_Loss/Epoch,0.12420284003019333,15.0
Validation/State_Loss/Epoch,0.12419978529214859,16.0
Validation/State_Loss/Epoch,0.1240365207195282,17.0
Validation/State_Loss/Epoch,0.12408573925495148,18.0
Validation/State_Loss/Epoch,0.12400752305984497,19.0
Validation/State_Accuracy/Epoch,0.8965581059455872,0.0
Validation/State_Accuracy/Epoch,0.8963809609413147,1.0
Validation/State_Accuracy/Epoch,0.8952875137329102,2.0
Validation/State_Accuracy/Epoch,0.8966882228851318,3.0
Validation/State_Accuracy/Epoch,0.8960122466087341,4.0
Validation/State_Accuracy/Epoch,0.8983943462371826,5.0
Validation/State_Accuracy/Epoch,0.8985461592674255,6.0
Validation/State_Accuracy/Epoch,0.8997336030006409,7.0
Validation/State_Accuracy/Epoch,0.9009210467338562,8.0
Validation/State_Accuracy/Epoch,0.8994317650794983,9.0
Validation/State_Accuracy/Epoch,0.8989419937133789,10.0
Validation/State_Accuracy/Epoch,0.9013981819152832,11.0
Validation/State_Accuracy/Epoch,0.8997299671173096,12.0
Validation/State_Accuracy/Epoch,0.9006463289260864,13.0
