metric,value,step
Train/Offset_Loss/Epoch,1528.3392333984375,0.0
Train/Offset_Loss/Epoch,1276.1934814453125,1.0
Train/Offset_Loss/Epoch,1231.139892578125,2.0
Train/Offset_Loss/Epoch,1203.7586669921875,3.0
Train/Offset_Loss/Epoch,1181.1558837890625,4.0
Train/Offset_Loss/Epoch,1164.4649658203125,5.0
Train/Offset_Loss/Epoch,1147.178955078125,6.0
Train/Offset_Loss/Epoch,1135.808349609375,7.0
Train/Offset_Loss/Epoch,1124.6387939453125,8.0
Train/Offset_Loss/Epoch,1111.8770751953125,9.0
Train/Offset_Loss/Epoch,1100.35693359375,10.0
Train/Offset_Loss/Epoch,1089.275146484375,11.0
Train/Offset_Loss/Epoch,1077.8876953125,12.0
Train/Offset_Loss/Epoch,1064.7755126953125,13.0
Train/Offset_Loss/Epoch,1052.8912353515625,14.0
Train/Offset_Loss/Epoch,1044.0706787109375,15.0
Train/Offset_Loss/Epoch,1034.8304443359375,16.0
Train/Offset_Loss/Epoch,1028.7037353515625,17.0
Train/Offset_Loss/Epoch,1024.2821044921875,18.0
Train/Offset_Loss/Epoch,1020.9344482421875,19.0
Train/State_Loss/Epoch,0.17032672464847565,0.0
Train/State_Loss/Epoch,0.14237795770168304,1.0
Train/State_Loss/Epoch,0.13701801002025604,2.0
Train/State_Loss/Epoch,0.13392223417758942,3.0
Train/State_Loss/Epoch,0.1317245364189148,4.0
Train/State_Loss/Epoch,0.1302069127559662,5.0
Train/State_Loss/Epoch,0.12892985343933105,6.0
Train/State_Loss/Epoch,0.12809346616268158,7.0
Train/State_Loss/Epoch,0.12717151641845703,8.0
Train/State_Loss/Epoch,0.1265048235654831,9.0
Train/State_Loss/Epoch,0.12594011425971985,10.0
Train/State_Loss/Epoch,0.12552796304225922,11.0
Train/State_Loss/Epoch,0.12497355788946152,12.0
Train/State_Loss/Epoch,0.12465648353099823,13.0
Train/State_Loss/Epoch,0.12431144714355469,14.0
Train/State_Loss/Epoch,0.12407778948545456,15.0
Train/State_Loss/Epoch,0.12386328727006912,16.0
Train/State_Loss/Epoch,0.12375735491514206,17.0
