metric,value,step
Train/Offset_Loss/Epoch,1531.0775146484375,0.0
Train/Offset_Loss/Epoch,1292.0911865234375,1.0
Train/Offset_Loss/Epoch,1246.697265625,2.0
Train/Offset_Loss/Epoch,1220.0860595703125,3.0
Train/Offset_Loss/Epoch,1195.9967041015625,4.0
Train/Offset_Loss/Epoch,1180.72021484375,5.0
Train/Offset_Loss/Epoch,1165.681884765625,6.0
Train/Offset_Loss/Epoch,1153.423828125,7.0
Train/Offset_Loss/Epoch,1141.845703125,8.0
Train/Offset_Loss/Epoch,1130.9893798828125,9.0
Train/Offset_Loss/Epoch,1120.065673828125,10.0
Train/Offset_Loss/Epoch,1110.406005859375,11.0
Train/Offset_Loss/Epoch,1100.996337890625,12.0
Train/Offset_Loss/Epoch,1092.578857421875,13.0
Train/Offset_Loss/Epoch,1082.7666015625,14.0
Train/Offset_Loss/Epoch,1074.57958984375,15.0
Train/Offset_Loss/Epoch,1067.87060546875,16.0
Train/Offset_Loss/Epoch,1063.3465576171875,17.0
Train/Offset_Loss/Epoch,1060.1884765625,18.0
Train/Offset_Loss/Epoch,1056.3443603515625,19.0
Train/State_Loss/Epoch,0.11882352828979492,0.0
Train/State_Loss/Epoch,0.09762546420097351,1.0
Train/State_Loss/Epoch,0.0942818820476532,2.0
Train/State_Loss/Epoch,0.09227870404720306,3.0
Train/State_Loss/Epoch,0.09079093486070633,4.0
Train/State_Loss/Epoch,0.08978002518415451,5.0
Train/State_Loss/Epoch,0.08894326537847519,6.0
Train/State_Loss/Epoch,0.08832629770040512,7.0
Train/State_Loss/Epoch,0.08783790469169617,8.0
Train/State_Loss/Epoch,0.08740992099046707,9.0
Train/State_Loss/Epoch,0.08691096305847168,10.0
Train/State_Loss/Epoch,0.08657795190811157,11.0
Train/State_Loss/Epoch,0.08625361323356628,12.0
Train/State_Loss/Epoch,0.08598305284976959,13.0
Train/State_Loss/Epoch,0.085700623691082,14.0
Train/State_Loss/Epoch,0.08555805683135986,15.0
Train/State_Loss/Epoch,0.08541500568389893,16.0
Train/State_Loss/Epoch,0.08535726368427277,17.0
Train/State_Loss/Epoch,0.08527680486440659,18.0
Train/State_Loss/Epoch,0.08524905890226364,19.0
Validation/Offset_Loss/Epoch,1205.324951171875,0.0
Validation/Offset_Loss/Epoch,1147.42333984375,1.0
Validation/Offset_Loss/Epoch,1114.8135986328125,2.0
Validation/Offset_Loss/Epoch,1072.7978515625,3.0
Validation/Offset_Loss/Epoch,1065.9937744140625,4.0
Validation/Offset_Loss/Epoch,1049.2237548828125,5.0
Validation/Offset_Loss/Epoch,1045.2161865234375,6.0
Validation/Offset_Loss/Epoch,1033.6768798828125,7.0
Validation/Offset_Loss/Epoch,1024.346923828125,8.0
