metric,value,step
Train/Offset_Loss/Epoch,1657.9510498046875,0.0
Train/Offset_Loss/Epoch,1318.737060546875,1.0
Train/Offset_Loss/Epoch,1271.3038330078125,2.0
Train/Offset_Loss/Epoch,1242.940185546875,3.0
Train/Offset_Loss/Epoch,1222.505859375,4.0
Train/Offset_Loss/Epoch,1206.5845947265625,5.0
Train/Offset_Loss/Epoch,1194.0941162109375,6.0
Train/Offset_Loss/Epoch,1183.05078125,7.0
Train/Offset_Loss/Epoch,1169.9459228515625,8.0
Train/Offset_Loss/Epoch,1162.9619140625,9.0
Train/Offset_Loss/Epoch,1154.3087158203125,10.0
Train/Offset_Loss/Epoch,1146.869140625,11.0
Train/Offset_Loss/Epoch,1138.7548828125,12.0
Train/Offset_Loss/Epoch,1132.783447265625,13.0
Train/Offset_Loss/Epoch,1127.26708984375,14.0
Train/Offset_Loss/Epoch,1121.8880615234375,15.0
Train/Offset_Loss/Epoch,1117.2882080078125,16.0
Train/Offset_Loss/Epoch,1114.5111083984375,17.0
Train/Offset_Loss/Epoch,1111.4783935546875,18.0
Train/Offset_Loss/Epoch,1110.8829345703125,19.0
Train/State_Loss/Epoch,0.18277297914028168,0.0
Train/State_Loss/Epoch,0.1458941400051117,1.0
Train/State_Loss/Epoch,0.14024312794208527,2.0
Train/State_Loss/Epoch,0.13720999658107758,3.0
Train/State_Loss/Epoch,0.13515853881835938,4.0
Train/State_Loss/Epoch,0.13357412815093994,5.0
Train/State_Loss/Epoch,0.13229942321777344,6.0
Train/State_Loss/Epoch,0.13132072985172272,7.0
Train/State_Loss/Epoch,0.1303706169128418,8.0
Train/State_Loss/Epoch,0.12962955236434937,9.0
Train/State_Loss/Epoch,0.12885190546512604,10.0
Train/State_Loss/Epoch,0.12843944132328033,11.0
Train/State_Loss/Epoch,0.12796641886234283,12.0
Train/State_Loss/Epoch,0.1275392472743988,13.0
Train/State_Loss/Epoch,0.12718769907951355,14.0
Train/State_Loss/Epoch,0.12691949307918549,15.0
Train/State_Loss/Epoch,0.12666870653629303,16.0
Train/State_Loss/Epoch,0.12656882405281067,17.0
Train/State_Loss/Epoch,0.12643124163150787,18.0
Train/State_Loss/Epoch,0.1264246106147766,19.0
Validation/Offset_Loss/Epoch,1226.169677734375,0.0
Validation/Offset_Loss/Epoch,1172.5750732421875,1.0
Validation/Offset_Loss/Epoch,1136.3726806640625,2.0
Validation/Offset_Loss/Epoch,1102.6832275390625,3.0
Validation/Offset_Loss/Epoch,1090.295166015625,4.0
Validation/Offset_Loss/Epoch,1072.4022216796875,5.0
Validation/Offset_Loss/Epoch,1065.23388671875,6.0
Validation/Offset_Loss/Epoch,1064.788818359375,7.0
Validation/Offset_Loss/Epoch,1051.2081298828125,8.0
Validation/Offset_Loss/Epoch,1048.2298583984375,9.0
Validation/Offset_Loss/Epoch,1047.1427001953125,10.0
Validation/Offset_Loss/Epoch,1035.0037841796875,11.0
Validation/Offset_Loss/Epoch,1032.653076171875,12.0
Validation/Offset_Loss/Epoch,1033.85546875,13.0
Validation/Offset_Loss/Epoch,1029.609619140625,14.0
Validation/Offset_Loss/Epoch,1027.0865478515625,15.0
Validation/Offset_Loss/Epoch,1025.5008544921875,16.0
Validation/Offset_Loss/Epoch,1020.939697265625,17.0
Validation/Offset_Loss/Epoch,1022.2469482421875,18.0
